-------- 1 - Règles
Règles,
Buteur ou clean sheet,
<,entré en cours de match
Note > 7,
Note < 3,
Notes L1 = MonPetitGazon,
-------- 2 - OM
Olympique de Marseille,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Effectif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poste,Nom,Tit.,Entrée,Buts,M. L1,J01(D): TFC,J02(E ): EAG,J03(D): FCL,J04(E ): OGCN,J05(D): OL,J06(E ): SRFC,J07(D): FCN,J08(E ): SMC,J09(D): FCM,J10(E ): PSG,J11(D): FCGB,J12(E ): MHSC,J13(D): SMC,J14(E ): ASM,J15(E ): ASSE,J16(D): ASNL,J17(E ): DFCO,J18(D): LOSC,J19(E ): SCB,J20(D): ASM,J21(E ): OL,J22(D): MHSC,J23(E ): FCM,J24(D): EAG,J25(E ): FCN,J26(D): SRFC,J27(D): PSG,J28(E ): FCL,,,,,,,,,,,
,,,,,,,,,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-------- 6 - ASSE
AS Saint-Etienne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Effectif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poste,Nom,Tit.,Entrée,Buts,M. L1,J01(E ): FCGB,J02(D): MHSC,J03(D): TFC,J04(E ): PSG,J05(D): SCB,J06(E ): FCN,J07(D): LOSC,J08(E ): OL,J09(D): DFCO,J10(E ): SMC,J11(D): ASM,J12(E ): FCM,J13(D): OGCN,J14(E ): SCO,J15(D): OM,J16(E ): SRFC,J17(D): EAG,J18(E ): FCL,J19(D): ASNL,J20(E ): LOSC,J21(D): SCO,J22(E ): TFC,J23(D): OL,J24(E ): OGCN,J25(D): FCL,J26(E ): MHSC,J27(D): SMC,J28(E ): SCB,,,,,,,,,,,
G,Ruffier,21,,,6.05,4,6,6,6,7,8,5,6,5,6,6,6,6,7,7,5,8,,,,,,,,6,5,6,6,,,,,,,,,,,
G,Moulin,6,,,6.20,,,,,,,,,,,,,,,,,,Exc.,,6,6,6,7,6,,,,,,,,,,,,,,,
G,Maisonnial,1,1,,6,,,,,,,,,,,,,,,,,,6,6,,,,,,,,,,,,,,,,,,,,
D,Théophile-Catherine,21,1,,5.10,2,<,5,5,5,,,,5,,,5,5,,5,4,6,4,6,6,6,6,5,5,6,5,5,6,,,,,,,,,,,
D,Perrin,20,1,3,5.95,4,5,,6,7,Bl.,,,6,7,7,5,6,<,6,5,7,,,5,6,6,7,,7,,5,6,,,,,,,,,,,
