poste,nom,tit,entrees,buts,team,J01,J02,J03,J04,J05,J06,J07,J08,J09,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29*
D,Dawson,,,,H,,,,,,,,,4,4,7,4,6,5,5,3,6,4,6,4,6,4,6,,,,,,:3/(-1)
D,Lenihan,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,Ranocchia,,,,H,,,,,,,,,,,,,,,,,,,,,,,<,8,5,5,4,5,3
D,Tymon,,,,H,,,,,,,,,,,,4,5,,,,,,,,,,5,<,,,,,
M,Meyler,,,,H,5,6,6,5,3,<,4,<,3,<,,<,<,<,,<,,,5,,,<,5,<,,<,,<,:1
M,Huddlestone,,,,H,4,7,5,4,5,4,<,<,4,,<,,,<,6,4,4,5,<,5,7,6,6,7,5,7,4,6,4:1/(-1)
M,Clucas,,,,H,6,6,5,6,4,3,5,3,4,4,7,5,5,5,4,3,5,4,<,5,5,5,5,5,3,,6,5,3:1
M,Maloney,,,,H,,<,<,<,,,<,5,,,,,,,,,,,,,,,,,,5,,,:1
M,Mason,,,,H,,,,<,<,3,5,4,4,5,5,4,5,4,,<,,<,,<,6,5,,,,,,,:1
M,Olley,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,Clackstone,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,Henriksen,,,,H,,,,,,<,4,,,5,6,4,4,4,<,,<,<,,<,,,,,,,,,
M,Evandro,,,,H,,,,,,,,,,,,,,,,,,,,,<,5,5,6,<,,,,
M,Elabdellaoui,,,,H,,,,,,,,,,,,,,,,,,,,,,4,<,6,4,5,,5,2
M,Markovic,,,,H,,,,,,,,,,,,,,,,,,,,,,,5,,6,,4,5,3
M,N'Diaye,,,,H,,,,,,,,,,,,,,,,,,,,,,,,7,4,5,5,5,3:1
M,Odubajo,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Snodgrass,,,,H,7,6,4,7,6,3,3,2,4,,<,3,5,3,6,4,5,4,7,7,6,,,,,,,,:7
A,Hernandez,,,,H,5,6,4,4,3,3,<,,<,4,4,,,,,,,,,,8,3,<,4,,<,<,6,3:2
A,Diomandé,,,,H,7,4,4,5,4,4,3,<,<,,,,<,4,6,4,<,<,4,4,5,<,,,<,,<,,<:2
A,Mbokani,,,,H,,,,,<,,4,,,,<,4,4,,,,3,4,4,4,,,,,,4,,,
A,Keane,,,,H,,,,<,,,,3,4,4,4,,,,,,,,,,,,,,,,,,
A,Hinchcliffe,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Niasse,,,,H,,,,,,,,,,,,,,,,,,,,,<,<,3,<,4,<,4,<,:2
A,Grosicki,,,,H,,,,,,,,,,,,,,,,,,,,,,,,6,5,5,4,4,<
